Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-05-18 00:00:00+10:00,53.36002553,53.37889414,52.20275879,52.20275879,3337301,0,0
2015-05-19 00:00:00+10:00,52.2342,52.71848781,51.73732989,52.10840607,3105625,0,0
2015-05-20 00:00:00+10:00,51.91973338,52.41660356,51.79394425,51.88199615,2543185,0,0
2015-05-21 00:00:00+10:00,51.69960459,52.61787058,51.69960459,52.5549736,2889228,0,0
2015-05-22 00:00:00+10:00,52.76251831,52.76251831,52.06438465,52.27193451,1801985,0,0
2015-05-25 00:00:00+10:00,52.32854946,52.9826597,52.12728588,52.83171082,1497762,0,0
2015-05-26 00:00:00+10:00,52.83170295,53.30341333,52.74993737,53.23423004,2448977,0,0
2015-05-27 00:00:00+10:00,53.04554767,53.33486314,52.73107246,52.91346741,2235413,0,0
2015-05-28 00:00:00+10:00,53.06442355,53.10530635,52.34428036,52.51723862,2645842,0,0
2015-05-29 00:00:00+10:00,52.81283665,53.97638962,52.62415055,53.51726151,9148534,0,0
2015-06-01 00:00:00+10:00,53.36002547,53.46065967,52.54868004,53.13360214,2115325,0,0
2015-06-02 00:00:00+10:00,53.53613417,53.53613417,52.20275879,52.20275879,2626561,0,0
2015-06-03 00:00:00+10:00,51.88828207,51.99520741,51.29707366,51.30335999,3746197,0,0
2015-06-04 00:00:00+10:00,51.25934268,51.88200206,50.61152354,50.65555191,3795236,0,0
2015-06-05 00:00:00+10:00,50.55490829,50.82535513,50.18382725,50.49830246,2906801,0,0
2015-06-09 00:00:00+10:00,50.50459551,51.08951758,50.19012029,50.20269775,2823264,0,0
2015-06-10 00:00:00+10:00,50.22785797,50.441699,49.80646224,50.25930405,2251304,0,0
2015-06-11 00:00:00+10:00,50.50459456,51.25304295,50.50459456,51.20272827,2587719,0,0
2015-06-12 00:00:00+10:00,51.25933058,51.54864602,50.95743286,51.20901108,1838138,0,0
2015-06-15 00:00:00+10:00,50.88196034,51.51091074,50.45427831,51.5046196,2378550,0,0
2015-06-16 00:00:00+10:00,51.57381581,52.21534378,51.32852386,51.81281662,2007322,0,0
2015-06-17 00:00:00+10:00,52.51723764,53.1210284,52.40402597,52.99523926,3698895,0,0
2015-06-18 00:00:00+10:00,52.93233529,52.97636366,52.00778308,52.32854462,5371041,0,0
2015-06-19 00:00:00+10:00,52.95119928,53.13988536,52.79081852,53.12730789,3671190,0,0
2015-06-22 00:00:00+10:00,53.00152565,53.53298749,52.80026209,53.47323608,2092066,0,0
2015-06-23 00:00:00+10:00,54.378938,54.65567125,54.09590878,54.56761932,2796516,0,0
2015-06-24 00:00:00+10:00,54.76887416,55.08964056,54.66824478,54.83806229,2961909,0,0
2015-06-25 00:00:00+10:00,54.48584677,55.09592381,54.21539508,54.90095139,2840331,0,0
2015-06-26 00:00:00+10:00,54.4040929,54.66196236,54.09590874,54.49843597,10063632,0,0
2015-06-29 00:00:00+10:00,53.70595043,53.7499788,53.05813613,53.26568604,2505051,0,0
2015-06-30 00:00:00+10:00,52.73735765,53.71852042,52.59899108,53.5424118,3217737,0,0
2015-07-01 00:00:00+10:00,53.55500595,54.45440342,53.55500595,54.10219574,2073836,0,0
2015-07-02 00:00:00+10:00,54.07073864,55.12737605,54.05816118,55.00158691,3133305,0,0
2015-07-03 00:00:00+10:00,55.03302354,55.03302354,54.17765468,54.50470734,2500992,0,0
2015-07-06 00:00:00+10:00,53.51096523,54.49841431,53.43863637,54.27828217,2049336,0,0
2015-07-07 00:00:00+10:00,54.40407843,55.3475041,54.37263236,55.15252686,3147763,0,0
2015-07-08 00:00:00+10:00,54.28458511,54.91353078,53.9449501,53.9449501,3983298,0,0
2015-07-09 00:00:00+10:00,53.21536485,54.0392877,52.9637866,53.83802414,2788755,0,0
2015-07-10 00:00:00+10:00,54.37892674,54.44811004,53.88834285,53.95753098,1837185,0,0
2015-07-13 00:00:00+10:00,53.82545089,54.61163658,53.47952957,53.5738678,2029786,0,0
2015-07-14 00:00:00+10:00,54.35376194,54.54873435,53.90720646,54.24684143,2382827,0,0
2015-07-15 00:00:00+10:00,54.34119498,54.90724854,54.34119498,54.79403687,2491791,0,0
2015-07-16 00:00:00+10:00,55.34750931,55.60537872,55.09592621,55.32234955,2208707,0,0
2015-07-17 00:00:00+10:00,55.52990387,55.56764109,54.98271896,55.33492661,1428452,0,0
2015-07-20 00:00:00+10:00,55.34751791,55.61167369,55.17140923,55.57393646,1257916,0,0
2015-07-21 00:00:00+10:00,55.86953723,55.90098813,55.22800923,55.41040421,2018897,0,0
2015-07-22 00:00:00+10:00,54.79403157,54.989004,54.48584747,54.48584747,2890237,0,0
2015-07-23 00:00:00+10:00,54.40407127,54.74370621,54.1084647,54.27828217,2193242,0,0
2015-07-24 00:00:00+10:00,54.08961366,54.67453586,53.77513838,53.97011566,2277294,0,0
2015-07-27 00:00:00+10:00,53.74368637,54.18395075,53.52984532,54.14621353,2295120,0,0
2015-07-28 00:00:00+10:00,53.63047299,54.61792708,53.63047299,54.30973816,2519049,0,0
2015-07-29 00:00:00+10:00,54.77516792,55.08964319,54.4669838,54.4669838,2316921,0,0
2015-07-30 00:00:00+10:00,54.67452444,54.98899966,54.48584317,54.76886749,1950087,0,0
2015-07-31 00:00:00+10:00,55.07076645,55.20913304,54.7877373,55.07076645,6791348,0,0
2015-08-03 00:00:00+10:00,55.17139943,55.18398172,54.59905477,54.95126724,1329067,0,0
2015-08-04 00:00:00+10:00,54.95127311,55.58022367,54.74372319,55.3663826,2279121,0,0
2015-08-05 00:00:00+10:00,55.1147936,55.34121693,54.67452922,54.95126724,2501631,0,0
2015-08-06 00:00:00+10:00,54.0896062,54.0896062,52.91347083,53.17763138,4513030,0,0
2015-08-07 00:00:00+10:00,52.07696573,52.46062424,51.13354492,51.13354492,5242740,0,0
2015-08-10 00:00:00+10:00,51.03920214,51.98262295,50.63038388,51.66186142,3397134,0,0
2015-08-11 00:00:00+10:00,52.17760548,52.19647409,51.41657471,51.64928436,3869099,0,0
2015-08-12 00:00:00+10:00,51.64928436,51.64928436,51.64928436,51.64928436,0,0,0
2015-08-13 00:00:00+10:00,51.64928436,51.64928436,51.64928436,51.64928436,0,0,0
2015-08-14 00:00:00+10:00,51.64928436,51.64928436,51.64928436,51.64928436,0,0,0
2015-08-17 00:00:00+10:00,50.90469682,51.68881751,50.82249222,51.39160919,8127186,0,0
2015-08-18 00:00:00+10:00,51.56065064,51.70367682,50.00037766,50.00037766,7498212,2.22,0
2015-08-19 00:00:00+10:00,50.11089142,51.25509084,50.02637325,50.8845253,5726975,0,0
2015-08-20 00:00:00+10:00,50.0588837,50.67649132,49.25274202,49.50628662,6306169,0,0
2015-08-21 00:00:00+10:00,48.81716185,49.14221954,48.21255931,49.14221954,6935842,0,0
